date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:22	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:23%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-regular-400.woff2	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:23	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:23%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-regular-400.woff	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:23	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:24%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-regular-400.ttf	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:24	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:24%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-regular-400.svg	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:24	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:24%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-solid-900.eot	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:24	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:25%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-solid-900d41d.eot	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:25	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:25%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-solid-900.woff2	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:25	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:26%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-solid-900.woff	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:25	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:26%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-solid-900.ttf	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:26	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:26%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/webfonts/fa-solid-900.svg	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:26	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Jul%202024%2012:13:27%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/www.googletagmanager.com/gtm.1d5445.delayed	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:29	716745/716745	---M-Z	200	added ('OK')	text/html	etag:%22508-1719835498;gz%22	https://grootacademy.com/best-traiining-insitute-in-jaipur/web-design-course-jaipur/	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/web-design-course-jaipur/index.html	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:29	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:28%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/POST	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/POST.1e.delayed	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:30	701480/701480	---M-Z	200	added ('OK')	text/html	etag:%22509-1719835499;gz%22	https://grootacademy.com/best-traiining-insitute-in-jaipur/data-science-course-in-jaipur/	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/data-science-course-in-jaipur/index.html	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:31	711102/711102	---M-Z	200	added ('OK')	text/html	etag:%22502-1719834324;gz%22	https://grootacademy.com/best-traiining-insitute-in-jaipur/web-development-course-jaipur/	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/web-development-course-jaipur/index.html	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
